,SO16 6YD,SO43 7NG,SO19 9AN,SO19 9AL,SO30 3PY,BH25 5JP,SO16 4AH,SO16 2JA,SO18 3RA,SO51 8EN,SO32 2UG,SO42 7RY,SO16 4NZ,SO31 8ES,SO30 4FQ,SO18 5TS,SO41 0PG,SO40 8WU,SO15 5AL,SO14 1LT,SO40 3PY,SO17 1BJ,SO16 4XE,BH24 1SD,SO15 2HQ,SO45 6AW,SO18 6TG,SO16 5ST,SO14 6UX,SO51 8ED,SO15 3FH,BH25 7EN,SO41 8QD,SO45 1XA,SO31 4NQ,SO16 3BD,SO41 9ND,SP6 1RS,SO45 4JA,SO15 5DD,SO16 8HY,SO43 7EW,SO40 4UZ,SO17 1PJ,SO14 0YG,SO52 9EP,SO50 9AG,SO19 4AA,SO15 5RP,SO15 3UA,SO19 9RL,SO19 6DJ,SO51 7QN,SO15 5SY,SO45 4ZD,SO41 9GJ,BH24 1JY,BH25 6EN,SO41 6BA,SO19 9GH,SO40 3ZN,SO18 1HZ,SO53 2ZH,SO50 8AU,SO17 2GD,SO45 5WX,SO32 1GR,SO18 2PA,SO50 4QP,SO23 8AD,SO21 1QY,SO53 4ST,SO22 6EL,SO41 3RA,SO53 2LH,SO18 6BT,BH23 8AD
SO16 4XE,1.5229677680859022,12.991800785259436,7.36826023337544,7.235593941336033,10.10049145178299,28.586056180286164,0.8740145143684357,6.127479426267841,8.024793156741918,9.715804540435798,14.547778669626894,18.317870050323513,0.4331077301040652,11.94189436457335,12.514896609617354,9.74474742449152,29.443739098117774,5.689150224786076,2.4309154422714934,4.9081635220449025,3.6737790878450114,4.388393617777081,0.0,28.845241133961835,3.662139760097089,8.206590685851182,7.489214417441778,2.6473619357399296,4.003229774857968,9.537992665444397,2.64435188357439,29.937401672540524,22.379681321242785,15.391797348301484,12.02869442723008,5.371112145130527,23.84186733194266,29.127789223069307,10.099341574768667,2.9119979568733707,2.145494113852232,12.956815758896298,4.516414062773268,3.845401192948397,4.550120689215386,6.7487020336710355,10.013388814521974,7.060323467155461,1.5330637109250789,1.8667084423707054,7.234273055856565,9.173923484760909,9.546390395221172,1.2436058145632196,9.596811935765382,23.56032504457468,30.66789572324658,28.667823714405415,23.128896346001007,8.10685193600869,3.5462636665675737,6.338171538415182,9.587528360436094,12.68679604510668,4.832587827281959,9.563158514157099,20.15247747748709,6.885156627278722,10.173048268967714,21.66085355660412,16.825724043731523,8.096178278149932,21.978467427705056,23.85942620992873,10.393588076458409,7.89396748457332,31.081078859549812
BH24 1SD,30.23407596600919,16.13700517198278,34.10065989896602,33.98234452436911,38.64541179265402,16.16571334604441,27.996328795167116,34.972735426195854,36.74400922130237,28.93221549434181,42.51256517265732,17.111990990475395,28.82096880334315,38.54082153568113,40.505173509229614,37.789111848614084,23.15702368213892,23.22495487485329,30.827660299252543,32.19491810139834,25.207838649153153,33.23210109365677,28.845241133961835,0.0,31.741073204263866,31.035643944014822,35.66874048049281,31.114460617937876,32.519660851232516,29.567324207048724,30.45249186993733,17.164353050626538,22.138054793709408,33.74391232617913,37.49261261465159,34.215449449688215,22.935385260750753,10.067481176711555,29.89184723920543,31.024354098710486,29.46458829794514,16.5517124279495,27.509295585476888,32.66814091705805,32.449297841152806,32.46385544814225,38.457825106208304,35.069393971224805,30.04710259156485,29.981598824058384,34.03380318880209,36.83397904241842,30.24918919401308,29.992720667727912,31.041749229335252,22.65435303704643,1.8823688701505055,16.46892278242395,16.48119008333297,34.06206708901139,25.353935164053457,34.859600557244804,36.86873978220163,41.485665123988895,33.40310738421314,30.863377375062978,48.90030862638657,35.53762494794397,38.31343293075364,47.6701972993599,44.28154078809139,35.246024405258126,46.84416506462948,23.034949263930958,37.92885862151668,36.001542004341054,10.104369553817161
SO15 2HQ,3.3127184943351202,15.646841565646568,3.804704789442076,3.6780993953381254,6.904374314266806,29.885533583417818,4.240883303780702,4.0601868525013245,5.110760086719475,12.711808778878192,11.060102360716128,19.642582228719817,3.4237301157167415,8.283772885878538,9.015717916373099,6.229842026979798,29.877761721961754,9.008142668122492,1.242315475034972,1.468297779636848,7.045044441733393,2.7275674875658344,3.662139760097089,31.741073204263866,0.0,6.027185189811945,3.9978498081157134,3.8089100931114444,1.0563112797140957,12.40110315353631,1.29250586555149,31.157698607621704,22.729836581174578,13.09253957403712,8.47896500219398,3.5502513473789286,24.093526389555585,32.594626514243664,8.485405367052937,0.776504206371735,4.969672143248171,15.410152271778978,4.835536265484634,2.159211788102151,0.8883931412262992,8.37071114833352,8.698007540563848,3.4826833444647742,2.1292240641257427,1.9057746254949635,3.663522991822967,5.548026362499811,12.255729047391238,2.4973449836658115,7.528570641257277,23.849216312486313,33.5246963898273,29.932568544447044,24.350341451715543,4.694658427326366,6.955387763282364,3.1399877715088356,9.525732189669311,10.468315860366221,1.8144025755227433,7.559951994691408,17.17979213812356,3.8781487567719215,9.229674233040141,21.262612674861035,15.905563590139838,8.430627174749857,22.028943457378265,24.095951596588655,10.001996715471329,4.374368640094533,33.123511108001594
SO45 6AW,8.775835067409522,15.223472930561035,4.474591596490088,4.436643240325771,10.09573516132344,26.203415416468378,8.164529459011266,9.547763099036064,9.399381097411498,17.921015927453805,12.31022247363225,16.410207934652632,7.782480600457232,7.747755129832068,10.561410319078156,8.43812189759086,25.09552372224862,11.18285959978095,6.730522533599909,4.7947180143520125,9.835819452429796,8.652523614535992,8.206590685851182,31.035643944014822,6.027185189811945,0.0,7.276369463101352,9.614211886755154,6.92197467154671,17.739836022878855,5.990568463812987,27.33287498666329,18.0220559793761,7.213331518617438,6.466241172390265,9.277981924686303,19.23579830065842,33.738760107351446,2.654595456105637,6.211844845127866,10.221851290629637,14.590068179697159,4.805767764494548,8.15432898275272,5.702041298414055,14.282510531250495,14.116507953907005,6.645853381762793,7.160900890758237,6.622313870378412,4.517886125946798,7.206013494697771,17.72102381464698,7.642932438006839,1.501386243394824,19.038898127144098,32.67749920750277,26.199111733966866,20.72430358471095,3.72514945829512,9.856242944756072,7.6568940977138205,15.45187664660548,14.883913311706076,7.253716070802755,1.5409422289694295,19.680919620002577,8.417309077811883,14.834295404337352,26.850948299196688,21.268377019489137,14.44073228624734,27.824827121481984,19.22176304831451,15.817209311656564,7.33466930910854,30.566863581709466
SO18 6TG,6.662627618857265,19.544031561698887,2.8596704250623746,2.8684189543055014,3.0970119705142984,32.98085194560301,8.170792947301507,3.458603164290032,2.1914028949120814,15.391084012190515,7.076100534731018,22.87099162764412,7.326554455624986,5.084052770153504,5.0349531673546855,2.255886961277704,32.314538059920025,12.99643965483649,5.107336414757504,3.5495087370486402,11.017727451209767,4.009159026414003,7.489214417441778,35.66874048049281,3.9978498081157134,7.276369463101352,0.0,6.558660797525583,3.4930869540689584,14.948945072559297,5.283008428280748,34.187769552579944,25.20372957183848,13.103017178737527,6.076627662546208,3.7643793960615515,26.460851582624876,36.569342263113434,9.917322673910816,4.762494579956108,8.224669965127923,19.24518454440664,8.35266641898253,4.120106054840356,3.2247760575191418,10.109228760509694,7.235583624272618,0.671579982454316,5.99858423924439,5.881890890565884,2.7871302537364513,1.9229232398934224,14.647918812024665,6.249420156442352,8.56986287168577,26.251968684812145,37.438295089223566,33.0034842588881,27.446465571184557,3.9007017099017482,10.91989508080067,1.4227374339673786,9.384924757147509,7.609470525737744,2.7375587114985507,8.680567013451244,13.35585310835811,1.6333652145251516,8.127166646242843,19.863693323350635,14.16392886647832,8.918419092067559,21.08951507660387,26.45053513884146,9.41512852275419,0.4204882803656448,36.66634789848919
SO16 5ST,1.1545736743138744,15.457139746328671,7.463358641929185,7.348546080604981,8.582193386791397,31.23337709765159,3.4862494802121824,4.143848210182171,6.383529046933891,9.009848005780439,13.28594891159359,20.964095106962912,2.9228570544125763,11.519667446372054,11.326485198551838,8.69666912247669,32.01393153984479,7.89545129001226,2.884325128658786,5.274790764570083,5.952661796394007,2.6448704195673045,2.6473619357399296,31.114460617937876,3.8089100931114444,9.614211886755154,6.558660797525583,0.0,3.400935581861658,8.652452508079785,3.6411129996367437,32.58386950651376,24.9243738973127,16.79163997283466,12.050109061842862,3.3948378880598256,26.369830393766602,30.81719844763365,11.860663449665687,3.420202168143712,1.8146771622098459,15.489572134772082,6.8353408705432015,2.440819218169857,4.529777010859687,4.673638999768986,7.464460454586827,6.345322493122523,2.6080867333455298,3.1389686753657076,7.318170571923528,8.449985856158422,8.470382125957784,2.1962155051664443,11.097444775782542,26.095322152477767,32.95591494031692,31.314861676990404,25.774013466245922,8.448413781224774,5.795124869970569,5.177430475591414,6.958596252099271,10.38363976771486,3.8811589181406783,11.101847118924121,18.193598384736806,5.455171549708558,7.555751787638841,19.03386839304227,14.182472340022782,5.509578633671637,19.417369984555698,26.384282741664176,7.747326907856037,6.978080526088337,33.66209407225045
SO14 6UX,3.2353920769915003,16.468478767643372,4.078875798186216,3.9689849911529906,6.172341137715388,30.915953016739344,4.718928530135093,3.006907900708299,4.234208640472378,12.410622639494617,10.544683769747632,20.66421249113779,3.8672083915535165,8.20471437745603,8.511909914847763,5.745913458053702,30.933959995215872,9.590185247718575,1.6985247785230415,2.1566972778212072,7.589098876299833,1.7347232207303829,4.003229774857968,32.519660851232516,1.0563112797140957,6.92197467154671,3.4930869540689584,3.400935581861658,0.0,12.049293660945088,2.151725232919683,32.193489047190816,23.78597456245395,13.87100395628255,8.650517356987105,2.4994628186236523,25.14856980758444,33.11805011586723,9.441423798619065,1.548742834052224,4.864269582652223,16.274804463294487,5.856441629753598,1.2586221774040338,1.2665607952608335,7.724961237624942,7.641895437518881,3.1142272233497463,2.5469805574970588,2.5384961489025066,3.9336526088596115,5.252543698455907,11.848365627063457,2.760482815752778,8.41857577116733,24.904754323145188,34.315760605596374,30.965225611962104,25.382910363947403,5.1068482569032705,7.481212468346911,2.3701159742220503,8.54993671069029,9.472546006871362,0.8834539250008372,8.462404280900227,16.380588586173058,3.0182978858748326,8.18229899040715,20.222563964020463,14.850725722135056,7.524515781153218,21.019544132139952,25.15077652908641,8.988081085932123,3.9032165961200933,34.08073544656791
SO51 8ED,9.136406433899824,16.6235083103717,16.115379805921197,15.999821049712361,16.221268494964434,34.0708324764921,9.705308655696184,11.793765481151471,14.10846848338079,0.7092299189336444,20.968674792700032,24.416065863111996,9.96629985948426,20.021009753800723,19.205560575232496,16.870644481353587,36.49185945812999,9.938009267324725,11.305137030689423,13.86510551022796,9.441825996764162,10.955802110574263,9.537992665444397,29.567324207048724,12.40110315353631,17.739836022878855,14.948945072559297,8.652452508079785,12.049293660945088,0.0,11.89643005598094,35.52982066685883,29.820190323807722,24.92948856472192,20.685739790192898,11.262543014888708,31.35993190393597,26.530459126172744,19.575831230587333,11.87744990535423,7.554959551205826,17.2107882718202,13.72535067849659,10.982889552781486,13.170580050648363,5.2305346278044516,12.074322605239221,14.85785144252805,10.666984432943973,11.180139562562934,15.970235062621011,16.871821646588515,0.7056438175243555,10.185425601427784,19.134075938073476,31.03714042294569,31.445785859695366,34.22214773490945,29.064725187510142,17.08467663955123,9.303402341657305,13.52620689750372,9.125945896017798,15.7660680393532,12.441570571075323,19.09803893716415,24.080585561388723,13.554860790990752,11.3455221958646,18.156375904204175,15.554576705499798,7.92561415696781,17.2893307710464,31.39799673389847,10.192208273633627,15.352644942866796,34.6263159591104
SO15 3FH,2.7999529189101713,14.366054156576965,4.740893973099962,4.607077445402236,8.193291850563455,28.830967059753462,3.0780305100052194,5.072598108950881,6.35762479746571,12.144745066792767,12.331929457644843,18.56451858351194,2.3238875245505377,9.377357992097377,10.287487688493655,7.503399036578731,29.035655756463076,7.747406285352381,0.8167938741954456,2.2791310396428384,5.806798375060408,3.504386820207496,2.64435188357439,30.45249186993733,1.29250586555149,5.990568463812987,5.283008428280748,3.6411129996367437,2.151725232919683,11.89643005598094,0.0,30.122054723296042,21.896563040356614,13.192057836699103,9.388409144828053,4.457379555293151,23.29102531713555,31.339639486815273,8.22756535108086,0.6035841190751732,4.3440592647693075,14.145267604957697,3.7885111195864,2.8596779148193527,2.092972642942621,8.31438238839864,9.60217690224405,4.748493558305096,1.234062176075394,0.7780760204245957,4.610102370254437,6.771170027495478,11.820448264857212,1.7117393172172886,7.464447961650205,23.03570437135865,32.238225584502516,28.885659911887466,23.304773389809053,5.463412868313978,5.72648232827413,4.414378932755973,10.06552772824248,11.615382834040407,3.01291744947377,7.46472572074293,18.46098922923068,5.128884993403263,10.03464787813931,21.98689172161307,16.758081219810283,8.820969946382768,22.620162337090157,23.297720878611358,10.6521542968626,5.652900734305796,31.929970231250742
BH25 7EN,31.44233036669305,18.969520940864776,31.65326906374223,31.583583536229934,37.22627920059218,1.4831592280544237,29.11942683353629,35.184937192781106,36.02959369416636,35.126543713556885,39.55088735786526,11.619919494385977,29.675534788705068,34.80372063451173,37.8829863960253,35.710754891390565,6.694931076657449,25.98149187077998,30.829171301619823,30.812679297873167,27.291473165963144,33.60586352415507,29.937401672540524,17.164353050626538,31.157698607621704,27.33287498666329,34.187769552579944,32.58386950651376,32.193489047190816,35.52982066685883,30.122054723296042,0.0,10.245460590205697,26.09420478232748,33.08807039450083,34.57778175033799,9.84328425754208,26.771334424606106,25.03932972615688,30.70786777585439,31.579571406061426,18.32027133622131,26.34309544029881,32.95650790921935,31.483075584700636,35.980255705441074,39.69305639864651,33.516513908976336,30.415899845339663,30.06542190703483,31.659835989189272,34.4992129162625,36.04205247993707,30.631812016966236,26.50921982082179,9.796536495327185,17.219008286667375,1.3076707303486403,6.821960575295526,31.049310060272013,27.46690254972077,34.03723335964426,39.505479439585784,41.56759262813207,32.95798823075596,26.34176305161988,47.00786131381042,34.84377925698071,40.01689147611448,51.548466092178735,46.730091404463735,37.962697980026945,51.628679551519866,9.920501107674994,40.33100849380235,34.3594141891129,8.017775771732218
